# source	target_reldir	key	page	english_ref	subset
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[30]a ဆိုလိုရင်း အချုပ်.md	[1]无色摄受章	[30]a	30	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[30]b အာယတနဒွါရ.md	[1]无色摄受章	[30]b	30	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[30]c ဝတ္ထု နှင့် ဒွါရ.md	[1]无色摄受章	[30]c	30	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[31] ၆။ မနောဒွါရ နှင့် ဟဒယဝတ္ထု.md	[1]无色摄受章	[31]	31	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[32]a တစ်နည်း ဖလူပစာရ စကားဟု မှတ်ပါ.md	[1]无色摄受章	[32]a	32	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[32]b အာဝဇ္ဇန်း ဟူသည်.md	[1]无色摄受章	[32]b	32	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[32]c ဒွါရ ဟူသည်.md	[1]无色摄受章	[32]c	32	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[33]a ရောယှက် ရှုပ်ထွေးမှု ကင်းရန်.md	[1]无色摄受章	[33]a	33	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[33]b ဒွါရ နှင့် အာရုံ.md	[1]无色摄受章	[33]b	33	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[34] ဒွါရနှစ်ပါး၌ ထင်ပုံ - ဇောဖြစ်ပုံ.md	[1]无色摄受章	[34]	34	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[35]a ၆ ×၆ လီ - တရား.md	[1]无色摄受章	[35]a	35	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[35]b အာရုံ (၆) ပါး.md	[1]无色摄受章	[35]b	35	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[35]c ဓမ္မာရုံ (၆) မျိုး.md	[1]无色摄受章	[35]c	35	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[36] ဝိညာဏဓာတ် (၆) ပါး.md	[1]无色摄受章	[36]	36	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[37] ဝီထိ (၆) ပါး.md	[1]无色摄受章	[37]	37	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[38] ပဉ္စဒွါရာဝဇ္ဇန်း ဆင်ခြင်.md	[1]无色摄受章	[38]	38	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[39]a ကြိုတင်သိမှတ်ထားရန်.md	[1]无色摄受章	[39]a	39	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[39]b ဝိသယပ္ပဝတ္တိ (၆) ပါး.md	[1]无色摄受章	[39]b	39	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[40] အတိမဟန္တာရုံ.md	[1]无色摄受章	[40]	40	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[42] ဇော ဟူသည်.md	[1]无色摄受章	[42]	42	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[43]a တဒါရုံ ဟူသည်.md	[1]无色摄受章	[43]a	43	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[43]b နှစ်ကြိမ် - တစ်ကြိမ်.md	[1]无色摄受章	[43]b	43	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[44] ယောနိသောမနသိကာရ.md	[1]无色摄受章	[44]	44	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[45]a အယောနိသောမနသိကာရ.md	[1]无色摄受章	[45]a	45	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[45]b အာဝဇ္ဇန်း.md	[1]无色摄受章	[45]b	45	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[46]a မနသိကာရ သုံးမျိုး.md	[1]无色摄受章	[46]a	46	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[46]b သမ္ပတ္တိစက်တို့၏ စွမ်းအင်.md	[1]无色摄受章	[46]b	46	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[48]a စိတ်ဖြစ်ပေါ်လာပုံ.md	[1]无色摄受章	[48]a	48	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[48]b မဟန္တာရုံ ဝီထိ.md	[1]无色摄受章	[48]b	48	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[49]a ပရိတ္တာရုံ ဝီထိ.md	[1]无色摄受章	[49]a	49	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[49]b ဒုတိယ မောဃဝါရ.md	[1]无色摄受章	[49]b	49	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[50]a မူလဋီကာ အနုဋီကာ အဆို.md	[1]无色摄受章	[50]a	50	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[50]b ဘဝင်္ဂုပစ္ဆေဒ.md	[1]无色摄受章	[50]b	50	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[51] ဒိဋ္ဌေ ဒိဋ္ဌမတ္တံ.md	[1]无色摄受章	[51]	51	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[52]a အတိပရိတ္တာရုံ ဝီထိ.md	[1]无色摄受章	[52]a	52	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[53]b ဝိသုဒ္ဓိမဂ္ဂအဋ္ဌကထာအဖွင့် - အရူပနိဗ္.md	[1]无色摄受章	[53]b	53	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[56] ဇောနှင့် အာရုံ.md	[1]无色摄受章	[56]	56	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[57] မူလပရိညာ.md	[1]无色摄受章	[57]	57	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[59] တစ်နည်း ဖွင့်ဆိုပုံ.md	[1]无色摄受章	[59]	59	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[61] အလွန်ခဲယဉ်းသော လုပ်ငန်းရပ်.md	[1]无色摄受章	[61]	61	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[65]a စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ.md	[1]无色摄受章/[65]心方面的应知事项	[65]a	65	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[65]b ဈာန်မရသော တိဟိတ် ပုထုဇန်ပုဂ္ဂိုလ်၏ သ.md	[1]无色摄受章/[65]心方面的应知事项	[65]b	65	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[65]c ဈာန်ရသော တိဟိတ် ပုထုဇန်ပုဂ္ဂိုလ်၏ သ.md	[1]无色摄受章/[65]心方面的应知事项	[65]c	65	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[66]a အကုသိုလ်စိတ် (၁၂) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[66]a	66	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[66]b လောဘမူစိတ် (၈) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[66]b	66	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[66]c ဒေါသမူစိတ် (၂) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[66]c	66	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[67]a မောဟမူစိတ် (၂) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[67]a	67	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[67]b အဟိတ်စိတ် (၁၈) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[67]b	67	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[67]c အဟိတ် အကုသလဝိပါက်စိတ် (၇) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[67]c	67	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[68]a အဟိတ် ကုသလဝိပါက်စိတ် (၈) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[68]a	68	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[68]b ပဉ္စဝိညာဏ်၏ ကိစ္စ.md	[1]无色摄受章/[65]心方面的应知事项	[68]b	68	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[69]a အဟိတ် ကိရိယာစိတ် (၃) ပါး.md	[1]无色摄受章/[65]心方面的应知事项	[69]a	69	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[69]b မဟာကုသိုလ်စိတ် (၈) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[69]b	69	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[70]a မဟာဝိပါက်စိတ် (၈) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[70]a	70	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[70]b ရူပါဝစရ ကုသိုလ်ဈာန်စိတ် (၄) မျိုး (စ.md	[1]无色摄受章/[65]心方面的应知事项	[70]b	70	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[71] ရူပါဝစရ ကုသိုလ်ဈာန်စိတ် (၅) မျိုး (ပ.md	[1]无色摄受章/[65]心方面的应知事项	[71]	71	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[71]b အရူပါဝစရ ကုသိုလ်ဈာန်တရား (၄) မျိုး.md	[1]无色摄受章/[65]心方面的应知事项	[71]b	71	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[72]b စိတ္တာနုပဿနာ သတိပဋ္ဌာန်.md	[1]无色摄受章/[65]心方面的应知事项	[72]b	72	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[73] အဋ္ဌကထာ အဖွင့်.md	[1]无色摄受章/[65]心方面的应知事项	[73]	73	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[80] သိမ်းဆည်း ရှုပွားရခြင်း၏ အကြောင်းရင်.md	[1]无色摄受章/[65]心方面的应知事项	[80]	80	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[81]a စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ.md	[1]无色摄受章/[81]心所方面的应知事项	[81]a	81	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[81]b စိတ်နှင့် ယှဉ်သော စေတသိက်တို့၏ လက္ခဏ.md	[1]无色摄受章/[81]心所方面的应知事项	[81]b	81	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[81]c စေတသိက် (၅၂) မျိုး.md	[1]无色摄受章/[81]心所方面的应知事项	[81]c	81	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[81]d သဗ္ဗစိတ္တသာဓာရဏ စေတသိက် (၇) လုံး.md	[1]无色摄受章/[81]心所方面的应知事项	[81]d	81	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[82] ပကိဏ်းစေတသိက် (၆) လုံး.md	[1]无色摄受章/[81]心所方面的应知事项	[82]	82	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[83]a စေတနာ-မနသိကာရ-ဝိတက်-အထူး.md	[1]无色摄受章/[81]心所方面的应知事项	[83]a	83	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[83]b အကုသိုလ်စေတသိက် (၁၄) လုံး.md	[1]无色摄受章/[81]心所方面的应知事项	[83]b	83	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[84]a အကုသလသာဓာရဏ စေတသိက် (၄) လုံး.md	[1]无色摄受章/[81]心所方面的应知事项	[84]a	84	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[84]b လောဘအုပ်စု စေတသိက် (၃) လုံး.md	[1]无色摄受章/[81]心所方面的应知事项	[84]b	84	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[84]c ရှင်းလင်းချက်.md	[1]无色摄受章/[81]心所方面的应知事项	[84]c	84	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[85] အတ္တစွဲ နှစ်မျိုး.md	[1]无色摄受章/[81]心所方面的应知事项	[85]	85	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[87]a မောဟ နှင့် ဒိဋ္ဌိ.md	[1]无色摄受章/[81]心所方面的应知事项	[87]a	87	vol_2/English-First-Edition-markdown/Vol 2, pg 51-100.md	glossary/subsets/Vol 2, pg 51-100.tsv
