# source	target_reldir	key	page	english_ref	subset
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[050].md	[010]色（28）法 = 色蕴论章	[050]	50	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[050b].md	[010]色（28）法 = 色蕴论章	[050b]	50	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[050c].md	[010]色（28）法 = 色蕴论章	[050c]	50	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[051].md	[010]色（28）法 = 色蕴论章	[051]	51	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[051b].md	[010]色（28）法 = 色蕴论章	[051b]	51	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[058]၁၄။ ဣတ္ထိန္ဒြေ = ဣတ္ထိဘာ၀ရုပ်.md	[010]色（28）法 = 色蕴论章	[058]	58	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[060]ဣန္ဒြိယပစ္စည်း မထိုက်ခြင်း.md	[010]色（28）法 = 色蕴论章	[060]	60	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[061]စက္ခုဝိညေယျ - မနောဝိညေယျ.md	[010]色（28）法 = 色蕴论章	[061]	61	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[061b] ၁၅။ ပုရိသဘာ၀ရုပ်.md	[010]色（28）法 = 色蕴论章	[061b]	61	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[063]ဗဟုသုတရေးရာ အဖြာဖြာ.md	[010]色（28）法 = 色蕴论章	[063]	63	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[064]လိင်ပြောင်းသွားသော်.md	[010]色（28）法 = 色蕴论章	[064]	64	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[064b]ဥဘတောဗျည်း.md	[010]色（28）法 = 色蕴论章	[064b]	64	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[065] န ပန တိဋ္ဌတိ = အခါခပ်သိမ်း မတည်ဟူသည်.md	[010]色（28）法 = 色蕴论章	[065]	65	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[066]ဣန္ဒြေတစ်မျိုးသာ ရှိနိုင်ပုံ.md	[010]色（28）法 = 色蕴论章	[066]	66	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[066b]ဆရာဝန်ကြီးများ၏ စွမ်းအင်.md	[010]色（28）法 = 色蕴论章	[066b]	66	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[067] ၁၆။ ရုပ်ဇီဝိတ.md	[010]色（28）法 = 色蕴论章	[067]	67	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[068]အနိစ္စ - ဒုက္ခ - အနတ္တ သဘော.md	[010]色（28）法 = 色蕴论章	[068]	68	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[070] ၁၇။ ဟဒယဝတ္ထု.md	[010]色（28）法 = 色蕴论章	[070]	70	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[071]နှလုံးသား နှင့် နှလုံးသွေး.md	[010]色（28）法 = 色蕴论章	[071]	71	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[071b].md	[010]色（28）法 = 色蕴论章	[071b]	71	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[072] ဓမ္မသင်္ဂဏီပါဠိတော်၌ မဟောခြင်း၏ အကြောင်း.md	[010]色（28）法 = 色蕴论章	[072]	72	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[075] သဘာ၀ယုတ္တိဖြင့် နှိုင်းချိန်ကြည့်ပါ.md	[010]色（28）法 = 色蕴论章	[075]	75	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[077]နှလုံးအိမ်ကို အစားထိုး၍ ကုသမှု.md	[010]色（28）法 = 色蕴论章	[077]	77	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[078].md	[010]色（28）法 = 色蕴论章	[078]	78	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[079] သွေးဟူသည် လေဟူသည်.md	[010]色（28）法 = 色蕴论章	[079]	79	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[084] အယူအဆတစ်မျိုး.md	[010]色（28）法 = 色蕴论章	[084]	84	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[085]စေတီနှင့် စေတီအိမ်.md	[010]色（28）法 = 色蕴论章	[085]	85	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[086]ကဗဠီကာရ အာဟာရ.md	[010]色（28）法 = 色蕴论章	[086]	86	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[086]၁၈။ ကဗဠီကာရ အာဟာရ.md	[010]色（28）法 = 色蕴论章	[086]	86	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[090]ဝတ္ထုနှင့် ဩဇာ.md	[010]色（28）法 = 色蕴论章	[090]	90	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[091]တစ်နည်း ဖွင့်ဆိုပုံ.md	[010]色（28）法 = 色蕴论章	[091]	91	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[093] ဖလူပစာရစကား.md	[010]色（28）法 = 色蕴论章	[093]	93	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[094] အာကာသဓာတ်.md	[010]色（28）法 = 色蕴论章	[094]	94	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[094] ၁၉။ အာကာသဓာတ်.md	[010]色（28）法 = 色蕴论章	[094]	94	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[099] ၂၀။ ကာယဝိညတ်.md	[010]色（28）法 = 色蕴论章	[099]	99	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[102]စက္ခုဝိညေယျ မနောဝိညေယျ.md	[010]色（28）法 = 色蕴论章	[102]	102	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[103].md	[010]色（28）法 = 色蕴论章	[103]	103	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[103b].md	[010]色（28）法 = 色蕴论章	[103b]	103	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[105] ၂၁။  ၀စီဝိညတ်.md	[010]色（28）法 = 色蕴论章	[105]	105	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[107]၀စီဘေဒ ဟူသည်.md	[010]色（28）法 = 色蕴论章	[107]	107	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[107b].md	[010]色（28）法 = 色蕴论章	[107b]	107	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[110]မည်သည့် စိတ်နည်း.md	[010]色（28）法 = 色蕴论章	[110]	110	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[110b]ထောက်ပံ့ဖွယ်ကိစ္စ မရှိပုံ.md	[010]色（28）法 = 色蕴论章	[110b]	110	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[111]စူးစမ်းဆင်ခြင်၍ ယူပါ.md	[010]色（28）法 = 色蕴论章	[111]	111	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[111b]တောင်မြို့ဆရာတော်ဘုရားကြီး၏ အဆို.md	[010]色（28）法 = 色蕴论章	[111b]	111	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[112]ပြည်ဆရာတော်ဘုရားကြီး၏ မှတ်ချက်.md	[010]色（28）法 = 色蕴论章	[112]	112	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[114]တိုက်တွန်းပါရစေ.md	[010]色（28）法 = 色蕴论章	[114]	114	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[115]ဥပါဒါရုပ် မည်နိုင်ပါသလား.md	[010]色（28）法 = 色蕴论章	[115]	115	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[116]ရူပဿ လဟုတာ.md	[010]色（28）法 = 色蕴论章	[116]	116	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[116b]၂၃။ ရူပဿ မုဒုတာ.md	[010]色（28）法 = 色蕴论章	[116b]	116	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[116c]၂၄။ ရူပဿ ကမ္မညတာ.md	[010]色（28）法 = 色蕴论章	[116c]	116	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[119a]သက်မဲ့လောကနှင့် ကမ္မဇရုပ်လောက.md	[010]色（28）法 = 色蕴论章	[119a]	119	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
